VORP,PER,WS,FT,BPM,Rk_Conference,USG%,Trp Dbl,AST,2P%
-0.1,13.1,1.4,2.9,-2.3,15.0,23.8,0.0,2.2,0.468
1.0,17.6,4.6,1.4,1.0,11.0,16.7,0.0,0.6,0.571
2.0,18.5,8.0,3.0,1.1,6.0,19.5,0.0,1.3,0.536
-0.3,7.7,1.4,0.6,-2.6,11.0,11.6,0.0,0.8,0.479
0.2,13.9,1.9,1.4,-1.3,14.0,20.9,0.0,0.9,0.522
1.0,12.5,2.7,0.6,1.8,2.0,12.1,0.0,1.3,0.462
1.2,20.1,7.9,2.2,0.3,3.0,19.5,0.0,0.7,0.557
0.9,12.1,3.7,0.6,0.0,2.0,15.2,0.0,1.6,0.494
3.5,17.3,9.4,1.2,3.3,4.0,15.1,0.0,1.5,0.576
-0.1,10.7,2.6,1.1,-2.3,6.0,16.4,0.0,0.9,0.502
1.4,14.8,4.8,2.3,0.4,4.0,22.0,0.0,1.4,0.462
0.3,17.1,3.6,0.7,-0.9,9.0,15.3,0.0,0.4,0.573
0.6,11.5,2.5,0.8,-0.3,6.0,12.8,0.0,0.7,0.512
0.0,12.4,1.2,0.8,-1.9,12.0,19.2,0.0,1.0,0.517
-0.1,9.0,1.1,0.4,-2.5,5.0,15.6,0.0,2.3,0.512
0.9,13.4,3.5,0.8,-0.2,13.0,19.3,0.0,1.1,0.518
5.6,26.5,12.5,7.8,6.7,1.0,34.0,0.0,5.9,0.528
1.3,14.2,5.7,1.7,-0.1,13.0,14.0,0.0,1.9,0.511
0.7,13.6,2.3,0.4,-0.5,8.0,17.8,0.0144927536231884,6.7,0.418
1.1,12.8,4.5,2.0,-0.2,10.0,19.2,0.0,2.5,0.442
2.9,19.8,7.5,4.1,2.6,9.0,27.1,0.0,5.8,0.499
-0.3,11.1,0.7,0.3,-2.7,14.0,19.3,0.0,5.1,0.415
1.7,18.6,7.2,3.1,0.8,2.0,24.5,0.0,1.9,0.48
1.8,20.9,6.7,1.7,1.0,10.0,22.4,0.0,1.1,0.532
3.4,23.0,8.9,4.1,3.4,2.0,30.8,0.0,5.8,0.505
-0.5,9.9,1.1,1.3,-2.9,6.0,16.8,0.0,3.2,0.483
6.6,25.1,13.8,7.7,7.3,8.0,26.5,0.0263157894736842,5.5,0.477
-0.3,8.1,0.1,0.5,-2.8,13.0,14.2,0.0,2.4,0.404
1.9,17.4,7.1,2.4,0.8,1.0,26.1,0.0,2.1,0.516
4.8,24.1,10.4,6.5,5.0,8.0,31.5,0.0,5.9,0.492
-0.2,13.8,2.6,0.5,-2.5,12.0,15.3,0.0,0.7,0.552
-0.3,15.0,2.4,1.2,-3.2,14.0,15.7,0.0,0.6,0.51
0.7,15.3,7.3,1.4,-0.7,2.0,11.3,0.0,1.0,0.604
0.6,9.6,4.2,0.6,-1.0,6.0,10.1,0.0,1.0,0.609
-1.4,8.5,-0.3,1.7,-4.4,14.0,16.8,0.0,2.1,0.443
-0.1,11.4,2.5,1.8,-2.2,4.0,20.3,0.0,2.8,0.491
1.8,12.4,5.0,0.6,1.6,5.0,13.9,0.0,2.7,0.471
0.8,16.1,4.7,1.4,0.6,1.0,15.3,0.0,1.9,0.538
5.1,23.2,10.0,4.6,6.8,7.0,26.3,0.0,6.3,0.497
8.0,27.4,15.0,9.2,8.7,3.0,34.2,0.2716049382716049,11.2,0.53
1.2,20.5,3.9,0.8,1.9,12.0,18.5,0.0,1.5,0.538
0.2,16.5,4.2,5.0,-1.7,13.0,29.0,0.0,2.3,0.473
1.3,10.1,3.4,0.4,0.8,2.0,13.5,0.0,1.8,0.42
0.9,15.3,4.1,1.2,0.3,1.0,19.0,0.0,2.0,0.608
1.4,15.2,4.8,2.1,0.5,5.0,22.5,0.0,2.3,0.537
