MP,PTS,PER,VORP,WS,TOV,STL%,BPM,Rk_Year,AST%
18.7,7.3,18.5,1.4,5.7,1.0,1.1,1.8,2,13.0
9.7,3.0,8.6,-0.1,0.1,0.4,1.6,-3.2,25,17.9
20.3,8.0,15.0,-0.1,3.0,1.3,1.2,-2.3,29,4.2
13.1,3.4,8.9,-0.2,0.3,1.0,1.0,-3.2,11,23.3
17.2,6.6,10.3,-0.6,1.5,0.9,1.3,-3.7,4,7.2
34.3,22.4,17.9,1.7,4.7,2.1,1.2,0.7,25,14.5
25.9,8.4,8.9,-0.7,1.4,0.7,0.7,-3.6,23,7.4
21.3,9.2,12.3,-0.1,1.8,1.3,1.8,-2.2,29,5.2
33.4,25.5,27.6,7.1,13.6,2.1,2.7,9.4,2,18.9
28.8,14.6,19.1,1.9,4.0,1.6,1.7,1.4,26,16.9
14.6,5.5,10.1,0.0,1.2,0.1,1.7,-2.3,15,5.2
29.7,13.6,20.9,1.8,6.7,1.9,2.6,1.0,19,6.0
33.3,13.8,12.8,1.1,4.5,1.1,1.8,-0.2,19,11.2
26.5,7.6,10.1,0.0,0.9,0.8,1.6,-2.1,28,7.0
13.3,3.9,8.7,-0.5,0.6,0.7,1.6,-5.8,12,2.2
11.1,4.3,10.9,-0.2,0.4,0.8,2.1,-3.2,28,21.7
20.4,7.4,12.3,-0.7,1.1,1.3,0.7,-4.3,28,5.9
25.6,11.0,10.9,-0.4,0.2,2.2,1.4,-3.2,18,21.8
29.9,11.3,16.5,1.1,6.5,1.8,1.8,-0.2,10,5.4
17.1,4.4,10.8,-0.6,1.8,0.9,1.2,-3.9,16,3.4
19.4,9.9,14.9,-0.1,2.7,0.7,0.7,-2.4,24,3.7
23.5,10.8,16.1,0.5,2.3,0.9,1.5,-0.6,14,7.5
35.6,22.9,26.1,6.7,12.4,2.9,2.3,7.3,14,26.6
25.4,12.4,20.2,2.5,6.4,1.3,0.8,4.0,2,14.7
18.9,8.1,16.3,0.3,2.9,0.9,1.9,-1.0,23,9.4
34.7,23.2,21.3,4.2,8.1,2.1,1.6,4.1,20,29.1
9.2,4.0,11.4,0.0,0.1,0.7,2.3,-2.4,5,22.7
25.0,9.3,13.2,0.4,3.4,1.4,1.7,-1.3,7,20.0
15.1,4.0,8.6,-0.1,1.7,0.5,1.4,-2.4,1,9.0
8.8,2.8,13.1,0.0,1.1,0.4,1.9,-1.8,1,5.2
34.2,19.5,20.3,4.6,7.7,2.2,1.4,5.2,12,24.8
29.4,13.6,13.5,0.9,5.2,0.8,0.7,-0.4,3,4.7
22.3,6.1,10.2,0.8,3.1,0.6,2.3,-0.2,6,3.1
14.0,5.4,12.6,-0.1,1.5,0.8,1.3,-2.2,15,10.8
22.5,11.7,21.1,1.7,5.6,1.7,2.6,1.8,14,17.3
30.1,15.8,14.5,0.7,1.6,2.2,1.5,-0.1,17,23.8
31.7,12.7,21.8,3.5,11.8,1.4,1.0,3.3,6,5.7
34.2,13.5,11.9,0.8,3.1,1.4,1.6,-0.8,22,13.6
24.9,9.6,12.1,0.2,2.7,0.8,1.3,-1.6,21,13.8
25.1,9.9,15.4,0.4,3.2,1.9,2.2,-1.0,23,29.9
17.6,4.6,9.0,-0.1,1.1,1.2,0.7,-2.5,8,20.3
23.7,9.5,15.8,0.6,2.7,1.2,2.0,-0.1,8,7.9
21.7,8.2,12.3,0.3,1.8,1.0,1.9,-1.1,30,13.7
24.6,17.5,21.4,3.0,6.1,2.0,1.9,3.9,3,19.9
31.9,10.8,12.2,0.7,4.2,0.9,1.6,-0.9,25,10.6
29.9,18.3,18.5,2.1,3.4,2.3,2.4,2.5,15,22.3
21.2,9.6,20.3,0.7,4.5,1.0,1.6,0.3,18,6.3
12.9,3.5,13.8,0.4,1.5,0.6,3.1,0.2,24,28.0
32.5,14.0,12.4,0.6,3.9,1.1,1.0,-1.1,19,9.4
7.9,2.8,11.1,0.2,0.8,0.2,0.8,-0.3,5,5.2
29.7,7.0,8.0,-0.4,2.7,1.0,1.5,-2.7,21,8.1
32.5,18.0,17.0,0.5,3.0,2.3,1.1,-1.0,25,22.8
28.8,13.2,16.3,0.6,3.5,2.3,1.1,-0.9,28,19.3
16.5,4.1,7.5,-0.6,-0.1,1.1,2.0,-4.7,25,17.3
32.5,10.2,16.5,4.3,8.2,2.4,3.0,4.9,1,27.6
27.4,14.5,14.9,0.4,1.9,2.2,1.2,-1.0,19,30.3
19.4,6.8,15.3,0.1,2.7,0.9,1.3,-1.6,14,7.7
28.4,13.7,15.5,1.0,3.3,1.6,1.4,0.2,18,17.7
25.2,10.1,13.0,-0.2,3.0,1.4,1.1,-2.6,2,27.8
32.3,14.0,17.7,3.0,6.3,1.7,1.2,3.4,4,24.4
18.4,4.1,9.1,0.4,2.1,0.5,1.7,-0.9,14,9.9
34.2,27.0,25.8,5.5,7.6,3.7,2.0,6.8,21,25.8
17.1,5.5,10.9,0.2,1.4,0.6,1.8,-1.4,4,15.2
11.7,5.0,17.3,0.0,0.9,1.0,2.3,-2.1,28,8.8
21.9,8.2,9.0,-0.4,0.8,1.1,1.2,-3.5,30,7.3
24.6,6.8,10.8,0.8,3.3,0.6,1.3,0.1,7,6.6
30.4,10.6,12.0,0.4,3.2,2.0,2.6,-1.3,4,22.0
11.4,5.6,11.9,-0.1,0.6,0.5,0.8,-3.0,4,9.8
33.2,20.5,23.2,5.1,10.0,2.3,2.1,6.8,12,34.5
31.5,18.1,26.2,5.2,10.6,2.4,3.1,8.7,6,46.8
26.6,7.8,11.2,0.5,2.2,1.2,2.5,-0.8,23,14.4
25.7,7.2,11.9,1.0,3.3,0.9,3.0,0.4,11,9.9
25.0,6.6,10.2,0.2,3.0,0.4,1.2,-1.6,21,3.2
27.3,8.9,13.5,0.6,5.8,1.2,1.2,-0.8,12,6.3
33.0,21.1,20.5,3.1,5.3,3.4,2.0,3.6,29,31.1
17.7,8.2,10.4,0.0,1.3,0.7,0.9,-1.8,12,6.6
33.9,20.1,19.1,1.2,4.0,1.8,1.5,0.7,14,14.3
24.0,10.5,13.3,0.4,3.2,0.9,1.2,-1.1,20,13.1
33.2,15.9,13.6,0.8,4.0,1.8,1.7,-0.5,10,12.5
31.3,16.1,16.9,2.3,6.8,1.2,1.2,1.6,19,8.8
20.5,9.0,15.3,0.9,4.1,1.3,1.4,0.3,4,15.2
34.0,22.3,17.4,1.9,7.1,1.6,1.2,0.8,1,9.3
19.1,5.5,10.1,0.3,2.9,0.6,1.1,-1.3,10,4.2
20.9,9.8,18.6,0.9,3.8,1.0,1.7,1.0,27,8.3
16.3,5.7,15.0,-0.3,2.4,0.9,1.3,-3.2,28,5.3
17.8,6.2,9.9,-0.2,2.0,1.0,1.7,-2.6,2,13.2
20.3,6.3,9.1,-0.5,2.0,0.6,1.8,-3.2,9,4.0
16.3,5.9,13.2,0.6,2.5,0.7,2.3,0.1,15,17.4
24.5,14.1,18.5,0.7,3.2,1.4,1.1,-0.5,12,13.5
33.4,16.3,14.4,0.7,3.1,1.6,1.8,-0.6,4,11.0
14.2,4.6,13.5,0.0,1.8,0.7,0.6,-2.3,18,4.6
37.8,26.4,27.0,6.7,12.9,4.1,1.6,7.6,5,41.3
20.5,5.9,8.7,-0.5,1.6,1.2,1.9,-3.4,12,20.0
32.9,11.1,16.8,1.8,6.1,2.6,2.6,0.9,24,38.9
32.7,15.4,17.1,1.8,3.8,2.9,2.2,1.3,21,35.9
11.1,5.6,19.7,0.4,2.2,0.6,1.2,0.4,6,5.7
26.6,7.3,10.1,1.3,3.4,1.1,2.0,0.8,2,9.6
21.0,6.0,8.4,-0.4,0.9,0.5,1.1,-3.5,25,5.0
31.6,12.9,13.2,1.1,3.1,2.0,2.9,0.2,27,7.5
30.3,13.2,15.3,0.6,3.9,1.7,1.6,-0.9,23,24.5
18.1,6.1,16.1,0.8,4.7,1.2,2.2,0.6,1,13.6
33.8,28.9,26.5,5.6,12.5,2.8,1.4,6.7,4,32.5
27.0,12.7,12.4,0.4,2.6,1.1,1.3,-0.9,8,10.1
16.2,6.4,8.8,-0.5,0.6,0.5,0.5,-3.8,14,6.4
31.5,17.9,16.1,1.3,3.7,3.3,1.5,0.0,11,35.5
25.1,11.0,13.4,0.9,3.5,0.9,2.2,-0.2,26,7.1
29.7,13.5,20.8,1.9,8.3,2.3,1.4,1.4,11,7.8
32.8,18.1,17.4,1.3,4.5,1.8,1.1,0.3,25,7.3
26.1,13.1,14.6,1.1,4.1,1.4,1.3,0.1,11,11.0
28.9,10.0,13.1,0.8,4.2,1.1,1.9,-0.6,16,5.9
26.7,7.8,13.6,0.7,2.3,2.4,2.7,-0.5,15,37.0
18.4,6.9,13.6,0.4,2.1,0.7,1.2,-0.8,30,7.3
35.0,22.1,14.6,0.1,2.0,3.1,1.3,-1.9,29,16.3
15.7,8.7,17.5,0.9,4.2,0.8,0.9,0.6,6,8.0
25.7,13.7,13.5,-0.1,2.9,1.6,0.8,-2.2,9,8.7
